year,month,day,temp_category,precip_category,cloud_cover_category,wind_speed_category,sunshine_category,state1
2024,1,12,Low,Low,High,Low,Medium,Low-Low
2024,1,13,Medium,Medium,High,Medium,Low,Medium-Medium
2024,1,14,Low,High,High,High,Low,Low-High
2024,1,15,Low,High,Low,High,Medium,Low-High
2024,1,16,Low,Medium,Low,Medium,Medium,Low-Medium
2024,1,17,Low,Medium,High,Low,Low,Low-Medium
2024,1,18,Low,Low,Low,Low,High,Low-Low
2024,1,19,Low,Low,Low,Medium,High,Low-Low
2024,1,20,Low,Low,Low,Medium,High,Low-Low
2024,1,21,Medium,Low,High,High,Low,Medium-Low
2024,1,22,High,High,Low,High,Medium,High-High
2024,1,23,High,High,Low,High,Medium,High-High
2024,1,24,High,Medium,High,High,High,High-Medium
2024,1,25,High,Medium,Medium,Low,Low,High-Medium
2024,1,26,High,High,Low,High,Medium,High-High
2024,1,27,Medium,Low,Low,Low,High,Medium-Low
2024,1,28,Medium,Low,Low,Low,High,Medium-Low
2024,1,29,High,Low,High,Low,High,High-Low
2024,1,30,High,Medium,High,Medium,Medium,High-Medium
2024,1,31,High,Low,High,Medium,Medium,High-Low
